Invoice_Number,Invoice_Date,Vendor_Name,GSTIN,Taxable_Amount,GST_Rate_%,GST_Amount,Total_Amount
INV-1332,2025-11-11,"Thaman, Chana and Kapadia",64KVdJ6225z1q7f,312233.51,18,56202.03,368435.54
INV-1333,2025-10-23,"Saraf, De and Deshmukh",78NVHp3769p3e8r,284619.86,5,14230.99,298850.85
INV-1334,2026-03-19,Naik-Chakraborty,16MPbX6553t5k5w,151583.65,5,7579.18,159162.83
INV-1335,2026-01-16,Dhingra-Sastry,03pNjs3521a1v0S,487825.53,18,87808.6,575634.13
INV-1336,2026-03-30,Mody Group,70HWqJ5383E3N8U,247471.41,5,12373.57,259844.98
INV-1337,2025-07-15,"Badami, Puri and Vyas",04dDPa2043e9y4Q,232312.02,28,65047.37,297359.39
INV-1338,2025-09-04,"Parsa, Chokshi and Bahl",46MIfl3681m5G7D,244542.72,12,29345.13,273887.85
INV-1339,2025-12-25,"Bains, Baral and Kota",84RwwO5762t0p5G,66837.24,5,3341.86,70179.1
INV-1340,2025-09-06,Kurian Group,08fUyH4325R6N2O,58979.89,5,2948.99,61928.88
INV-1341,2026-02-12,Sahni and Sons,92inPi6495L7I8R,73524.16,28,20586.76,94110.92
INV-1342,2026-03-28,Devi LLC,82JIUh6292l5u1j,26627.15,5,1331.36,27958.51
INV-1343,2026-02-28,Nagar Group,64lbWN7423N1r2M,154222.06,5,7711.1,161933.16
INV-1344,2025-12-28,"Kashyap, Kata and Kashyap",05TPxl1728y9F7E,216714.52,18,39008.61,255723.13
INV-1345,2025-07-14,Hans and Sons,06elCN0463F3S3u,60095.14,5,3004.76,63099.9
INV-1346,2026-04-23,Koshy-Sane,60MIHP9656T9Y9c,317563.71,28,88917.84,406481.55
INV-1347,2025-12-10,Seth Group,03HWOd8860m8s6C,458159.85,5,22907.99,481067.84
INV-1348,2025-10-23,Mangal-Shenoy,26PCfU4908G2h7l,148409.08,12,17809.09,166218.17
INV-1349,2026-03-20,"Deshmukh, Ramaswamy and Sachdev",57fquS0279P3T7Y,252780.54,5,12639.03,265419.57
INV-1350,2025-07-24,"Dasgupta, Chand and Comar",75yJyc1868X9k2v,424445.7,28,118844.8,543290.5
INV-1351,2025-12-27,"Doctor, Gaba and Dhillon",20hima6447N4W2q,129211.11,18,23258.0,152469.11
INV-1352,2025-05-26,Tank-Tara,80DACf9733M9M7a,58641.69,5,2932.08,61573.77
INV-1353,2025-08-25,"Mall, Johal and Bawa",22Mtvf0502d0g9A,149367.9,5,7468.4,156836.3
INV-1354,2025-07-30,Mane PLC,99fXtu8279x5y0e,231801.12,18,41724.2,273525.32
INV-1355,2026-03-12,Bhattacharyya-Master,72nSnN1458d6g8K,340318.87,18,61257.4,401576.27
INV-1356,2026-03-01,"Wadhwa, Chahal and Sule",94NwiN6954K8F9H,447952.84,5,22397.64,470350.48
INV-1357,2026-03-01,"Tank, Tailor and Gole",93OYhV4301n0Z7N,424537.38,12,50944.49,475481.87
INV-1358,2025-10-30,Bath-Nath,58ttGJ3034u4X1a,24676.71,18,4441.81,29118.52
INV-1359,2025-07-05,"Nath, Om and Randhawa",99EZcP0235i5E7j,216964.84,12,26035.78,243000.62
INV-1360,2026-01-20,Yadav-Nayak,76IbnK0849R5v8Z,478566.48,18,86141.97,564708.45
INV-1361,2026-05-12,Bhatti-Dixit,40ylMh5682Y9W9t,160356.01,5,8017.8,168373.81
INV-1362,2026-02-19,Balay-Magar,61Htlh7357x4Y3c,26596.96,5,1329.85,27926.81
INV-1363,2026-03-20,Chanda Group,80UHtX7823u5j7X,71617.72,5,3580.89,75198.61
INV-1364,2026-04-25,Varty Ltd,23tcRM0768f1v0D,339062.98,28,94937.63,434000.61
INV-1365,2026-05-02,Chauhan PLC,40srIu9435X3C3Q,393224.33,28,110102.81,503327.14
INV-1366,2025-07-06,Dixit-Dugar,41IwJu0988r1j3T,49836.08,18,8970.49,58806.57
INV-1367,2026-03-30,Konda-Garg,14bERd9587g0y2d,218683.08,28,61231.26,279914.34
INV-1368,2025-06-24,Ramanathan-Gola,99TWQZ7954I5f3W,117282.22,12,14073.87,131356.09
INV-1369,2026-03-14,Deep-Chander,71jNqx7477z3l3S,489858.26,18,88174.49,578032.75
INV-1370,2026-05-13,"Narayanan, Nair and Setty",70ksXw1715M7K7i,116368.57,18,20946.34,137314.91
INV-1371,2025-12-05,Ravi Ltd,15LApN8148p7J6k,7214.98,12,865.8,8080.78
INV-1372,2025-11-25,Bhatti-Oak,39lQQe6695V8T3K,65748.36,5,3287.42,69035.78
INV-1373,2026-04-11,Contractor-Sheth,58MgRM1724X6y1u,238390.94,28,66749.46,305140.4
INV-1374,2025-11-29,"Bhat, Chana and Kalla",29yNKC0227m8n4R,189094.89,28,52946.57,242041.46
INV-1375,2026-04-27,Mistry-Modi,65isdx1909J8d6a,122714.81,18,22088.67,144803.48
INV-1376,2026-02-19,"Parmer, Choudhary and Manda",03yBIn6965Q6l6E,20313.32,18,3656.4,23969.72
INV-1377,2025-07-15,Rajagopalan LLC,62jUFQ4220B1i0f,303893.15,18,54700.77,358593.92
INV-1378,2025-07-14,"Sagar, Shah and Sandal",92wolB7868M7a6K,316296.16,5,15814.81,332110.97
INV-1379,2025-12-01,"Khalsa, Thaker and Luthra",68TxhL9500E9S7f,396865.75,12,47623.89,444489.64
INV-1380,2025-07-16,"Vyas, Mammen and Shroff",81ROIZ8913L7t1N,465645.12,28,130380.63,596025.75
INV-1381,2025-06-11,Warrior-Apte,77Zssk8795c6S5M,17347.4,5,867.37,18214.77
INV-1382,2026-03-09,Lad-Bhat,79sFfi2904G9e0Y,66553.19,12,7986.38,74539.57
INV-1383,2025-09-06,Deo-Mand,44QCxZ0192l9q2Y,233241.81,12,27989.02,261230.83
INV-1384,2026-02-18,Sundaram and Sons,80WAXy5129p2Q7C,166658.68,28,46664.43,213323.11
INV-1385,2026-02-27,"Ganesh, Kade and Pai",04tEVW1027I6o7y,330110.16,18,59419.83,389529.99
INV-1386,2026-02-11,"Ramakrishnan, Som and Lala",28HRcg6047I6O5w,146421.42,12,17570.57,163991.99
INV-1387,2026-04-14,Mahajan-Nayak,44URLX1496m7H3v,411583.82,12,49390.06,460973.88
INV-1388,2026-02-09,"Gole, Munshi and Anne",01woUs0618q1m7c,132810.85,5,6640.54,139451.39
INV-1389,2025-05-31,"Chanda, Bhandari and Kalla",91ZlhS1192l6q9s,254155.25,28,71163.47,325318.72
INV-1390,2025-11-19,"Borra, Setty and Malhotra",65yvdq4214q0l6C,371263.33,28,103953.73,475217.06
INV-1391,2025-06-17,Iyer-Ramaswamy,27PgCT1286q3g9c,345433.56,28,96721.4,442154.96
INV-1392,2025-06-19,Krishna Group,07SvzK2006a4G2T,496793.05,28,139102.05,635895.1
INV-1393,2026-05-22,Sridhar-Sarin,61KIwv8306R7t1z,222205.97,28,62217.67,284423.64
INV-1394,2025-06-12,"Chana, Pau and Warrior",51yQmt7432S8y0g,404927.92,18,72887.03,477814.95
INV-1395,2026-01-21,"Parmer, Sur and Chad",73FyeY2030I9P3t,226652.28,5,11332.61,237984.89
INV-1396,2025-12-02,"Sengupta, Babu and Bansal",50DRIj5061V3L8o,465502.54,12,55860.3,521362.84
INV-1397,2026-05-16,Bansal Ltd,27alOd0790t3Y2g,114588.63,5,5729.43,120318.06
INV-1398,2025-11-15,"Garde, Bhatt and Cherian",17vZVR9931z3u6h,129953.0,28,36386.84,166339.84
INV-1399,2026-02-11,"Devan, Nagy and Kala",09WAkS2511x4J2k,35943.27,5,1797.16,37740.43
INV-1400,2025-11-08,Baria and Sons,19alfT6207P1L0s,457530.55,18,82355.5,539886.05
INV-1401,2025-10-30,"Soni, Date and Jhaveri",24ScMl8763T2F9N,426161.2,5,21308.06,447469.26
INV-1402,2025-06-25,"Mitra, Pall and Sahota",08xWIG3318o1D9X,271729.63,12,32607.56,304337.19
INV-1403,2026-01-20,"Joshi, Malhotra and Bera",31dPxs2772n2B0q,74614.5,18,13430.61,88045.11
INV-1404,2025-09-28,"Setty, Bassi and Chawla",08epUC2207L8L1u,378497.05,5,18924.85,397421.9
INV-1405,2025-10-31,Nanda and Sons,15oeEL3136F3d6B,44955.39,28,12587.51,57542.9
INV-1406,2025-07-17,Sha and Sons,65vicS2735K4d3r,23310.71,5,1165.54,24476.25
INV-1407,2025-07-14,Shroff Group,62kKJo5349f2A9H,182563.14,5,9128.16,191691.3
INV-1408,2025-11-27,Solanki Group,40oLjK6335a6A9c,83120.67,18,14961.72,98082.39
INV-1409,2025-06-06,Thaman-Bandi,68fJWa6717S7U3A,473350.27,5,23667.51,497017.78
INV-1410,2025-08-14,Parmer LLC,31VLbD0742D7X9i,343050.51,5,17152.53,360203.04
INV-1411,2026-04-26,"Ravi, Goyal and Prabhakar",70BWrS1658N0I4K,327484.84,12,39298.18,366783.02
INV-1412,2026-03-26,Buch PLC,50DNcx8501x6l5P,270923.05,5,13546.15,284469.2
INV-1413,2025-12-25,"Bhavsar, Jayaraman and Devi",53uwrG8179R3B3r,290235.03,5,14511.75,304746.78
INV-1414,2025-06-12,Pradhan LLC,77sCNx8817Z8R8S,146241.19,18,26323.41,172564.6
INV-1415,2026-04-01,Guha Group,11rhSj6241F1j2n,116081.35,5,5804.07,121885.42
INV-1416,2025-12-10,"Bajaj, Memon and Saha",82mebZ7567o0H4P,251490.36,28,70417.3,321907.66
INV-1417,2025-09-29,Oza-Narain,79iYtk8877Y4q9o,38430.19,28,10760.45,49190.64
INV-1418,2025-11-26,Mani-Batta,25sllT4729S2Q8Y,160334.08,18,28860.13,189194.21
INV-1419,2025-07-20,Khanna Inc,05nJTc9274Q5u2w,53825.2,12,6459.02,60284.22
INV-1420,2025-07-18,Sen-Zacharia,28Duja4106V7I2G,160849.75,12,19301.97,180151.72
INV-1421,2025-09-27,"Merchant, Som and Mann",92iRJh9751t7b0z,300938.07,18,54168.85,355106.92
INV-1422,2026-01-16,Sehgal LLC,15YXrm0939b8f3I,24583.03,12,2949.96,27532.99
INV-1423,2026-04-16,Chahal-Vala,63Qxzj7599T8B0x,411243.35,18,74023.8,485267.15
INV-1424,2025-10-18,Arora-Mane,55VAZC4781s3k7Z,436347.81,12,52361.74,488709.55
INV-1425,2026-02-28,Sachdeva-Dewan,99veLW1234y7f8a,377119.75,12,45254.37,422374.12
INV-1426,2025-10-28,"Mahajan, Sachdeva and Gill",87JFct9232L6t4F,393151.51,18,70767.27,463918.78
INV-1427,2025-12-25,"Sheth, Kapur and Bala",02lFSP4471p4b6h,296297.38,5,14814.87,311112.25
INV-1428,2026-03-14,Tailor-Bhavsar,95ShxG9796U4K7b,241961.58,18,43553.08,285514.66
INV-1429,2026-04-15,Gaba-Bhardwaj,25xAOw7252d0s4s,273206.58,18,49177.18,322383.76
INV-1430,2025-12-13,"Bose, Varkey and Hari",21rRSS9285x5g4I,83786.1,5,4189.3,87975.4
INV-1431,2026-01-02,Dhawan-Arya,28gnjG4576o5m2Y,336389.68,18,60550.14,396939.82
INV-1432,2026-05-05,"Vora, Wali and Comar",67tSxi1120C7M5H,272198.31,12,32663.8,304862.11
INV-1433,2026-03-14,Gera-Modi,01nifB3223S4W2Y,202731.1,18,36491.6,239222.7
INV-1434,2025-07-04,Bahl Group,60Ehqc3108e9t0Q,442122.26,5,22106.11,464228.37
INV-1435,2025-05-25,Dasgupta PLC,39VrLw3250w1k2G,337149.87,28,94401.96,431551.83
INV-1436,2026-03-21,"Khurana, Tiwari and Bir",19WIaU0833g4n2G,86475.7,28,24213.2,110688.9
INV-1437,2026-04-17,"Soman, Peri and Goyal",71oAhW2566u3h8D,289669.82,5,14483.49,304153.31
INV-1438,2025-07-03,"Deshpande, Tandon and Patel",48sDMV0157t1R6C,318049.37,12,38165.92,356215.29
INV-1439,2025-08-17,"Reddy, Mannan and Sangha",31zCHQ7520R7f1h,174083.61,5,8704.18,182787.79
INV-1440,2025-07-16,Rattan-Chaudry,21hoBU5353F9r6W,369452.19,5,18472.61,387924.8
INV-1441,2026-02-23,"Mahajan, Ratta and Parekh",79ghqF6784F2o7O,193440.72,28,54163.4,247604.12
INV-1442,2026-05-22,Balan Inc,01jtNN7026g9W5e,259586.24,28,72684.15,332270.39
INV-1443,2026-02-02,"Tailor, Shukla and Jaggi",47IbWc7848B5h8y,209878.6,5,10493.93,220372.53
INV-1444,2025-11-12,Puri-Savant,70BitT0284y2F7W,152806.35,12,18336.76,171143.11
INV-1445,2025-07-03,"Swaminathan, Zacharia and Singhal",78LyNR2806w4X7s,128353.66,28,35939.02,164292.68
INV-1446,2025-09-23,Bala PLC,02gBww5590A5w6d,498683.63,18,89763.05,588446.68
INV-1447,2026-02-02,Kota and Sons,49bIuc1141D5Q2B,251352.98,28,70378.83,321731.81
INV-1448,2025-12-28,"Sama, Loke and Bahri",79KgZF0569g6S5R,248525.14,12,29823.02,278348.16
INV-1449,2025-08-09,Taneja-Thakkar,52OYeI9456n3s7q,117436.21,28,32882.14,150318.35
INV-1450,2025-06-09,Ratti-Kara,91KZHE9195B4n1w,307251.76,28,86030.49,393282.25
INV-1451,2026-03-27,Mittal PLC,46NGDQ8536W6J4l,24040.05,12,2884.81,26924.86
INV-1452,2026-04-29,Varty and Sons,97KUOd3748H9m6x,135305.77,18,24355.04,159660.81
INV-1453,2025-11-17,Khosla and Sons,46sPkq6513R6M4p,206091.07,28,57705.5,263796.57
INV-1454,2025-10-26,Comar and Sons,30BPcm3477k8r6i,174922.88,5,8746.14,183669.02
INV-1455,2025-06-02,Mall-Goda,07eAxQ0015Q9f4z,229345.55,5,11467.28,240812.83
INV-1456,2026-04-13,"Dey, Keer and Choudhury",98fpMh1898X4Z7u,281400.73,12,33768.09,315168.82
INV-1457,2025-09-26,"Ramakrishnan, Keer and Sampath",32qLdF1234I7x6S,433902.84,18,78102.51,512005.35
INV-1458,2025-07-04,Sampath-Soman,34PMcV2575Q4Z0d,382972.56,18,68935.06,451907.62
INV-1459,2026-02-14,"Khatri, Kulkarni and Rajagopalan",45zqtf1837W6p0t,121366.68,18,21846.0,143212.68
INV-1460,2025-08-11,Sarna Ltd,56vTBg0417k7S6q,405857.81,28,113640.19,519498.0
INV-1461,2025-12-04,Pandey Group,98YPia5700z2m7O,8218.55,5,410.93,8629.48
INV-1462,2025-09-17,Butala-Choudhry,23EViq8296l5R7L,427261.63,18,76907.09,504168.72
INV-1463,2026-04-08,Manda-Issac,16bbJP5266N9O3o,447316.75,28,125248.69,572565.44
INV-1464,2026-05-09,Shere and Sons,42jfxk0696K9h4a,195561.91,28,54757.33,250319.24
INV-1465,2026-02-25,"Saran, Setty and Talwar",13iBnM3344n7s6U,196755.6,28,55091.57,251847.17
INV-1466,2026-02-08,Sahota and Sons,62pxLR0443P9D7f,487770.09,18,87798.62,575568.71
INV-1467,2025-05-26,Deol-Naik,63Jddv6694p1E1w,307719.52,12,36926.34,344645.86
INV-1468,2026-01-12,"Bath, Ahluwalia and Kulkarni",89cLlq6465k2G8F,304389.64,5,15219.48,319609.12
INV-1469,2026-05-18,Sidhu-Deo,15ciFr8624V1x5B,25635.48,28,7177.93,32813.41
INV-1470,2025-09-08,Lalla-Varughese,56dmjd2572o8l7c,187230.93,18,33701.57,220932.5
INV-1471,2025-11-20,Gade-Sibal,61DFhU7075j8h7w,194520.23,12,23342.43,217862.66
INV-1472,2025-06-27,Mander and Sons,28HXKl4993A9e0p,477274.16,5,23863.71,501137.87
INV-1473,2026-03-16,Chandra-Narasimhan,04jbfD1659T1Q5E,399970.7,5,19998.54,419969.24
INV-1474,2025-11-14,"Luthra, Ahluwalia and Narayan",09ZPsu7592Z3d0V,434163.85,18,78149.49,512313.34
INV-1475,2025-06-18,"Raj, Chanda and Rastogi",42yXzs3610P3W2P,90369.77,12,10844.37,101214.14
INV-1476,2025-07-20,Misra Group,64mFCy9251E5r8K,259331.73,5,12966.59,272298.32
INV-1477,2026-01-10,Chana-Sami,59vDRo2661P0R8T,10211.38,18,1838.05,12049.43
INV-1478,2025-07-21,Vyas-Vohra,14iRtp7617H4B2s,6752.71,28,1890.76,8643.47
INV-1479,2025-12-28,Bose Inc,81qwqL8661f7X9G,64903.83,18,11682.69,76586.52
INV-1480,2025-05-28,Shere and Sons,26UDWQ0164C5N9Z,189191.3,28,52973.56,242164.86
INV-1481,2025-09-01,Grover-Kakar,21azha9416k8P0E,78697.42,18,14165.54,92862.96
INV-1482,2025-11-16,"Ravel, Sur and Mitter",99amhb5641S2m2b,323114.43,12,38773.73,361888.16
INV-1483,2025-08-11,Dhillon-Khurana,68Bbhk3147j2V7S,117775.05,5,5888.75,123663.8
INV-1484,2025-11-10,Sinha-Bahri,79vagO3349T6B0A,45160.43,12,5419.25,50579.68
INV-1485,2026-04-16,Mannan-Bansal,76TdHb7899B7K3u,451672.45,18,81301.04,532973.49
INV-1486,2025-12-22,Loyal Ltd,67bksU1795m7E6w,475539.26,5,23776.96,499316.22
INV-1487,2025-11-08,Tripathi and Sons,95RPVx9724Y6E6Z,83642.38,12,10037.09,93679.47
INV-1488,2026-04-14,Johal LLC,17gYAF2232t9p7n,256814.14,18,46226.55,303040.69
INV-1489,2025-12-24,Badami LLC,45BhNo2280h1J5o,321494.37,12,38579.32,360073.69
INV-1490,2025-11-26,Oak-Pant,08CZDW4289h1g0Y,471804.39,28,132105.23,603909.62
INV-1491,2026-01-14,"Chaudry, Barman and Tripathi",12WGFU1352g4j7P,59600.89,12,7152.11,66753.0
INV-1492,2025-10-10,Devi-Das,37Gkfr6037x5T4W,121236.81,12,14548.42,135785.23
INV-1493,2025-10-30,Korpal-Doshi,86HYRx3266b6C7j,228846.51,12,27461.58,256308.09
INV-1494,2026-03-17,Varughese Inc,15WcQP5626j0K6d,89183.96,28,24971.51,114155.47
INV-1495,2026-01-22,"Venkatesh, Merchant and Saini",68NjSz4550C4P8n,127340.31,18,22921.26,150261.57
INV-1496,2026-05-01,"Sathe, Pai and Ravel",34HIsn1085f6G2J,208542.13,5,10427.11,218969.24
INV-1497,2025-09-20,"Oak, Dutta and Bajaj",08hUdx9434q6O8G,44630.82,12,5355.7,49986.52
INV-1498,2025-10-06,Batta Ltd,17ZVLK4907T5O3Q,178773.94,18,32179.31,210953.25
INV-1499,2025-12-15,"Kaur, Palla and Mistry",49HLmX2683x1D5g,386887.9,18,69639.82,456527.72
